Set,precision,recall,fscore
wine Bagging estymatory=10 Fold:5,0.7042679603451967,0.5876538889473211,0.5613457949044456
wine Bagging estymatory=10 Fold:8,0.7017604355118199,0.5773750174382046,0.5520250489857186
wine Bagging estymatory=10 Fold:10,0.6997429453616906,0.5652411020348169,0.5409216409732936
wine Bagging estymatory=20 Fold:5,0.6698519084307564,0.5172237457071013,0.4968690349993597
wine Bagging estymatory=20 Fold:8,0.6703026862542298,0.5113163260936257,0.49137341313691546
wine Bagging estymatory=20 Fold:10,0.6718872822408952,0.5043729264935638,0.4851667837390462
wine Bagging estymatory=30 Fold:5,0.6505620049259444,0.47286281955191833,0.4560948859410342
wine Bagging estymatory=30 Fold:8,0.6510904573739233,0.46883148274773856,0.452386016499205
wine Bagging estymatory=30 Fold:10,0.6514745154269797,0.46415529120548,0.4481937052957584
